,title,artist,total_words,total_bad_words,perc_bad_words
188,Anything Could Happen,Ellie Goulding,317,0,0.0
189,Finally Found You,Enrique Iglesias,425,2,0.4705882352941176
190,Pom Poms,Jonas Brothers,367,0,0.0
191,#Beautiful,Mariah Carey,266,13,4.887218045112782
192,How Ya Doin'? (feat. Missy Elliott),Little Mix,649,0,0.0
193,Crazy Kids (feat. will.i.am),Kesha,282,0,0.0
194,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,3513,2,0.0569313976658127
195,People Like Us,Kelly Clarkson,444,0,0.0
196,Overdose,Ciara,491,0,0.0
197,Right Now - Dyro Radio Edit,Rihanna,154,0,0.0
198,Give It 2 U,Robin Thicke,522,1,0.19157088122605362
199,Foolish Games,Jewel,240,0,0.0
200,Outta Nowhere (feat. Danny Mercer),Pitbull,428,4,0.9345794392523363
201,Freak,Kelly Rowland,366,3,0.819672131147541
202,All of Me,John Legend,345,0,0.0
203,Stay With Me,Sam Smith,160,0,0.0
204,Summer,Calvin Harris,126,0,0.0
205,Rude,MAGIC!,386,0,0.0
206,Shake It Off,Taylor Swift,600,0,0.0
207,Dark Horse,Katy Perry,464,0,0.0
208,Hey Brother,Avicii,193,0,0.0
209,Maps,Maroon 5,457,0,0.0
210,Treasure,Bruno Mars,322,1,0.3105590062111801
211,Let Her Go,Passenger,407,2,0.4914004914004914
212,Problem,Ariana Grande,535,0,0.0
213,Pompeii,Bastille,359,0,0.0
214,Team,Lorde,371,0,0.0
215,Love Me Again,John Newman,265,0,0.0
216,Latch,Disclosure,295,0,0.0
217,Adore You,Miley Cyrus,230,0,0.0
218,Love Never Felt So Good,Michael Jackson,348,0,0.0
219,Burn,Ellie Goulding,504,0,0.0
220,She Looks So Perfect,5 Seconds of Summer,312,0,0.0
221,Fancy,Iggy Azalea,474,4,0.8438818565400843
222,Talk Dirty (feat. 2 Chainz),Jason Derulo,514,4,0.7782101167315175
223,Gorilla,Bruno Mars,401,4,0.997506234413965
224,human,Christina Perri,247,0,0.0
225,Young Girls,Bruno Mars,311,0,0.0
226,Wiggle (feat. Snoop Dogg),Jason Derulo,413,11,2.663438256658596
227,Love Runs Out,OneRepublic,449,0,0.0
228,This Is How We Do,Katy Perry,503,0,0.0
